,epoch,train_loss,train_acc,train_pre,train_rec,train_f1,train_auc,train_mcc,valid_loss,valid_acc,valid_pre,valid_rec,valid_f1,valid_auc,valid_mcc,test_acc,test_pre,test_rec,test_f1,test_auc,test_mcc,test_pr-auc,train_pr-auc,valid_pr-auc
0,0.0,0.9501389353792259,0.36785329018338725,0.36785329018338725,1.0,0.5378548895899053,0.33790350730135216,0.0,0.8945816836420214,0.3676748582230624,0.3676748582230624,1.0,0.5376641326883207,0.7448326743287952,0.0,0.36822429906542054,0.36822429906542054,1.0,0.5382513661202185,0.6903553299492386,0.0,0.8006401389538325,0.3251498270128006,0.8365584921237127
1,1.0,0.8809075437831776,0.36785329018338725,0.36785329018338725,1.0,0.5378548895899053,0.9934851132985697,0.0,0.8847371903168907,0.3667296786389414,0.36707663197729423,0.9974293059125964,0.5366528354080222,0.7563796634657876,-0.04033673710100437,0.36822429906542054,0.36822429906542054,1.0,0.5382513661202185,0.7110804072928243,0.0,0.7247846683856151,0.9903039647662037,0.7632004024112963
2,2.0,0.8133092548983512,0.3902373247033441,0.3762075627932652,0.999266862170088,0.5466212151594144,0.9810765053096193,0.11310637494984625,471.00397537167,0.22967863894139887,0.22831632653061223,0.4601542416452442,0.3052003410059676,0.1887462006371018,-0.4888933387409203,0.21495327102803738,0.2364066193853428,0.5076142131979695,0.3225806451612903,0.217718439311567,-0.5311255011228164,0.27485562750521264,0.9709435740044462,0.260900490565216
3,3.0,121.80355294108263,0.30016181229773464,0.3215424760800232,0.8130498533724341,0.4608352378973612,0.4652905840581306,-0.35045548969337753,0.7981290889372221,0.3724007561436673,0.3694207027540361,1.0,0.5395284327323162,0.8656072640360282,0.052545140587475066,0.36261682242990656,0.36466165413533835,0.9847715736040609,0.532235939643347,0.81001261526447,-0.09836261096838417,0.8001223388158912,0.5952608384229263,0.8501869152036892
4,4.0,0.7124471190549281,0.4166666666666667,0.3866023275617372,0.998533724340176,0.5573971761817066,0.9877075868505599,0.16966926125662046,957.792692740608,0.22967863894139887,0.22831632653061223,0.4601542416452442,0.3052003410059676,0.20645670743656844,-0.4888933387409203,0.21495327102803738,0.2364066193853428,0.5076142131979695,0.3225806451612903,0.22384585348271407,-0.5311255011228164,0.24110355322372987,0.9846327352665805,0.2652309177687656
5,5.0,256.04342537957615,0.30312837108953616,0.32318840579710145,0.8174486803519062,0.4632322393020358,0.44389290557785277,-0.33870346950845676,0.8113516968004194,0.3676748582230624,0.3676748582230624,1.0,0.5376641326883207,0.8591939778897254,0.0,0.36822429906542054,0.36822429906542054,1.0,0.5382513661202185,0.8198645360886674,0.0,0.808611018846241,0.5942370524989288,0.8434677119889932
6,6.0,0.7847521890199943,0.37540453074433655,0.37058183795541055,0.999266862170088,0.5406584688615629,0.9511967599311402,0.06265136444196394,0.7694416544162483,0.3846880907372401,0.3737957610789981,0.9974293059125964,0.5437981779957954,0.8604351351247498,0.09145279310096857,0.3663551401869159,0.3660377358490566,0.9847715736040609,0.5337001375515817,0.8081954164539092,-0.04667424368409399,0.8026190973269544,0.9395880290707822,0.8496588506817213
7,7.0,0.6887138510341911,0.43716289104638617,0.3950043566656985,0.9970674486803519,0.5658414811732889,0.9814815451943191,0.2029486674857636,646.8444075079632,0.22967863894139887,0.22831632653061223,0.4601542416452442,0.3052003410059676,0.26806690721292953,-0.4888933387409203,0.21495327102803738,0.2364066193853428,0.5076142131979695,0.3225806451612903,0.32460276935091464,-0.5311255011228164,0.3363007188011776,0.9805669390127413,0.26648762158250217
8,8.0,151.5566530920798,0.3036677454153182,0.3236826867400116,0.8196480938416423,0.4640929846409299,0.4591827702601263,-0.33777801363744253,0.8431670713064126,0.3676748582230624,0.3676748582230624,1.0,0.5376641326883207,0.8340845600808482,0.0,0.36822429906542054,0.36822429906542054,1.0,0.5382513661202185,0.8005286396539814,0.0,0.7878027049965315,0.5988035690102698,0.8159999728089393
9,9.0,0.8230534880678245,0.37162891046386193,0.3691765980498375,0.999266862170088,0.5391613924050633,0.9041700654569474,0.04168554517309437,0.7953450168238245,0.3818525519848771,0.37296260786193675,1.0,0.5432960893854749,0.8423941654082179,0.09144610604506764,0.3663551401869159,0.3660377358490566,0.9847715736040609,0.5337001375515817,0.7919382452767849,-0.04667424368409399,0.7815787600941936,0.8780810637364992,0.8241166213265189
