,epoch,train_loss,train_acc,train_pre,train_rec,train_f1,train_auc,train_mcc,valid_loss,valid_acc,valid_pre,valid_rec,valid_f1,valid_auc,valid_mcc,test_acc,test_pre,test_rec,test_f1,test_auc,test_mcc,test_pr-auc,train_pr-auc,valid_pr-auc
0,0.0,0.5937375554889279,0.6709816612729234,0.9615384615384616,0.10997067448680352,0.19736842105263158,0.7354424912173592,0.2580095366519864,0.7156270911991033,0.6323251417769377,0.0,0.0,0.0,0.24016008238517375,0.0,0.6317757009345795,0.0,0.0,0.0,0.3007539122338029,0.0,0.27468448310244353,0.7372094576968704,0.24711356085579797
1,1.0,0.7330959811565559,0.6316073354908306,0.0,0.0,0.0,0.20820488825277988,-0.017721099817348984,0.7088426098030322,0.6323251417769377,0.0,0.0,0.0,0.29917461122574845,0.0,0.6317757009345795,0.0,0.0,0.0,0.33756345177664976,0.0,0.3056683914562452,0.24195738487163218,0.28000253315214385
2,2.0,0.7104922604085043,0.6321467098166127,0.0,0.0,0.0,0.25498746409376155,0.0,0.7024763669882019,0.6323251417769377,0.0,0.0,0.0,0.30801257296121676,0.0,0.6317757009345795,0.0,0.0,0.0,0.3483915537800739,0.0,0.3636697713119037,0.2617192314758077,0.3070894452303544
3,3.0,0.7068101879783947,0.6321467098166127,0.0,0.0,0.0,0.2255987709307097,0.0,0.6991586707715501,0.6323251417769377,0.0,0.0,0.0,0.31303099819013913,0.0,0.6317757009345795,0.0,0.0,0.0,0.35306220526837473,0.0,0.36089760045880614,0.24872713556587545,0.3235241909489501
4,4.0,0.702974418284695,0.6321467098166127,0.0,0.0,0.0,0.22001891645731786,0.0,0.6965843626141323,0.6323251417769377,0.0,0.0,0.0,0.3340346063840824,0.0,0.6317757009345795,0.0,0.0,0.0,0.3650166701709068,0.0,0.3994667599191014,0.2469127212571374,0.38208764444838117
5,5.0,0.6996055236397695,0.6321467098166127,0.0,0.0,0.0,0.23021560007206268,0.0,0.6954092254936132,0.6323251417769377,0.0,0.0,0.0,0.32638400559481406,0.0,0.6317757009345795,0.0,0.0,0.0,0.353234914246238,0.0,0.3431680189052353,0.25120767569023383,0.32544550199652333
6,6.0,0.7011269198845119,0.6321467098166127,0.0,0.0,0.0,0.16667156676308387,0.0,0.6953381190115202,0.6323251417769377,0.0,0.0,0.0,0.3077685683654766,0.0,0.6317757009345795,0.0,0.0,0.0,0.34251193944673053,0.0,0.3274816310289195,0.2323077172056514,0.28187012124226046
7,7.0,0.7006155614135334,0.6321467098166127,0.0,0.0,0.0,0.16681731856715343,0.0,0.6951362488400508,0.6323251417769377,0.0,0.0,0.0,0.3076821100441514,0.0,0.6317757009345795,0.0,0.0,0.0,0.34622142792779265,0.0,0.3475108929584345,0.23224094047799657,0.29312047812343367
8,8.0,0.7006001792357834,0.6321467098166127,0.0,0.0,0.0,0.1580980140221993,0.0,0.6948914342544029,0.6323251417769377,0.0,0.0,0.0,0.3209851637520606,0.0,0.6317757009345795,0.0,0.0,0.0,0.3570495299312168,0.0,0.3735463598043224,0.23122003820702228,0.3071194190831865
9,9.0,0.6992262464253777,0.6321467098166127,0.0,0.0,0.0,0.16213934247795583,0.0,0.6945982424996525,0.6323251417769377,0.0,0.0,0.0,0.3500197893491033,0.0,0.6317757009345795,0.0,0.0,0.0,0.37946415162346436,0.0,0.41617688239302586,0.23169382844945052,0.3798743506240191
10,10.0,0.6983201191584784,0.6321467098166127,0.0,0.0,0.0,0.17412727197661967,0.0,0.6944031570606737,0.6323251417769377,0.0,0.0,0.0,0.35879434831559975,0.0,0.6317757009345795,0.0,0.0,0.0,0.3843150211756225,0.0,0.4263522275697855,0.234038845069551,0.39678303136805465
11,11.0,0.6980902587004335,0.6321467098166127,0.0,0.0,0.0,0.17163197606918018,0.0,0.6942113119622936,0.6323251417769377,0.0,0.0,0.0,0.3631076579017141,0.0,0.6317757009345795,0.0,0.0,0.0,0.38663532874778483,0.0,0.43390844908752546,0.23348730342953672,0.4067281399151589
12,12.0,0.6978586086241816,0.6321467098166127,0.0,0.0,0.0,0.17018055708466368,0.0,0.6940142271198713,0.6323251417769377,0.0,0.0,0.0,0.36726149991738427,0.0,0.6317757009345795,0.0,0.0,0.0,0.3890157090078996,0.0,0.43741824854776307,0.23317387511158005,0.4127093857876025
13,13.0,0.6976207922641771,0.6321467098166127,0.0,0.0,0.0,0.16788793750562991,0.0,0.6938464657345431,0.6323251417769377,0.0,0.0,0.0,0.3673421943506211,0.0,0.6317757009345795,0.0,0.0,0.0,0.3887078364821434,0.0,0.44048520879930086,0.23270940290039524,0.4161523742654049
14,14.0,0.6973919664964707,0.6321467098166127,0.0,0.0,0.0,0.16783930144225476,0.0,0.6936310040139521,0.6323251417769377,0.0,0.0,0.0,0.375546128396371,0.0,0.6317757009345795,0.0,0.0,0.0,0.39295797915477726,0.0,0.44107695171932193,0.23269369964987438,0.4260917165211103
15,15.0,0.6972192048447804,0.6321467098166127,0.0,0.0,0.0,0.16568445797844125,0.0,0.6934850306051215,0.6323251417769377,0.0,0.0,0.0,0.3709580734780453,0.0,0.6317757009345795,0.0,0.0,0.0,0.3916964527077764,0.0,0.443440868974822,0.2322815396182833,0.42436568768278016
16,16.0,0.6970114943600524,0.6321467098166127,0.0,0.0,0.0,0.16491175447639445,0.0,0.6932813879560208,0.6323251417769377,0.0,0.0,0.0,0.38037818791043687,0.0,0.6317757009345795,0.0,0.0,0.0,0.39349863334634905,0.0,0.45008148196721165,0.23214923209395943,0.43506011839743136
